object_id_num,outcome,message,event_premis_id_num
450397606,object_deleted,,10667262
450528696,object_deleted,,10667291
450532843,object_deleted,,10667258
450539810,object_deleted,,10667306
450572172,object_deleted,,10667273
450577752,object_deleted,,10667293
450579834,object_deleted,,10667294
450619131,object_deleted,,10667295
450619819,object_deleted,,10667292
450651288,object_deleted,,10667290
450686568,object_deleted,,10667312
450693247,object_deleted,,10667305
450709467,object_deleted,,10667304
450710439,object_deleted,,10667303
450722035,object_deleted,,10667261
450726587,object_deleted,,10667314
450731303,object_deleted,,10667313
450742439,object_deleted,,10667257
450763893,object_deleted,,10667308
450793382,object_deleted,,10667260
450805896,object_deleted,,10667297
450834984,object_deleted,,10667309
450843860,object_deleted,,10667272
450888856,object_deleted,,10667316
450890582,object_deleted,,10667281
450898588,object_deleted,,10667298
450907340,object_deleted,,10667282
450908636,object_deleted,,10667299
450917816,object_deleted,,10667271
450925034,object_deleted,,10667269
450926420,object_deleted,,10667296
450933278,object_deleted,,10667311
450936398,object_deleted,,10667300
450937022,object_deleted,,10667275
450940142,object_deleted,,10667274
450974678,object_deleted,,10667254
450975004,object_deleted,,10667253
450975982,object_deleted,,10667310
450978860,object_deleted,,10667268
451049214,object_deleted,,10667278
451049452,object_deleted,,10667259
451052632,object_deleted,,10667315
451067240,object_deleted,,10667276
451102723,object_deleted,,10667289
451106531,object_deleted,,10667277
451113343,object_deleted,,10667256
451172558,object_deleted,,10667288
451613110,object_deleted,,10667287
451642571,object_deleted,,10667263
451644359,object_deleted,,10667286
451657999,object_deleted,,10667264
451759549,object_deleted,,10667267
451792203,object_deleted,,10667279
451813083,object_deleted,,10667280
451828543,object_deleted,,10667266
451903506,object_deleted,,10667302
451906827,object_deleted,,10667285
451907196,object_deleted,,10667301
452046122,object_deleted,,10667307
452051068,object_deleted,,10667284
452081820,object_deleted,,10667283
452090302,object_deleted,,10667255
