object_id_num,outcome,message,event_premis_id_num
445479624,object_deleted,,10666182
445483330,object_deleted,,10666113
445486038,object_deleted,,10666183
445486500,object_deleted,,10666114
445493816,object_deleted,,10666189
445495052,object_deleted,,10666178
445495598,object_deleted,,10666181
445496690,object_deleted,,10666179
445497236,object_deleted,,10666180
445502573,object_deleted,,10666177
445512566,object_deleted,,10666188
445512928,object_deleted,,10666187
445513290,object_deleted,,10666186
445513382,object_deleted,,10666184
445515446,object_deleted,,10666185
445563328,object_deleted,,10665947
445584976,object_deleted,,10666111
445585536,object_deleted,,10666110
445586656,object_deleted,,10665956
445587776,object_deleted,,10666109
445601245,object_deleted,,10666112
445616143,object_deleted,,10666176
445618885,object_deleted,,10666057
445623757,object_deleted,,10666198
445625101,object_deleted,,10666197
445628536,object_deleted,,10666126
445629016,object_deleted,,10666125
445630336,object_deleted,,10666127
445648742,object_deleted,,10666196
445658683,object_deleted,,10666123
445659635,object_deleted,,10666121
445660111,object_deleted,,10666120
445661063,object_deleted,,10665952
445661539,object_deleted,,10666122
445663443,object_deleted,,10666119
445668258,object_deleted,,10666124
445683493,object_deleted,,10666202
445734219,object_deleted,,10666195
445741876,object_deleted,,10666115
445749038,object_deleted,,10666118
445749206,object_deleted,,10666117
445749542,object_deleted,,10666116
445769542,object_deleted,,10666192
445774966,object_deleted,,10666199
445789200,object_deleted,,10666194
445789718,object_deleted,,10666201
445790236,object_deleted,,10665942
445792972,object_deleted,,10666200
445793636,object_deleted,,10666193
445793968,object_deleted,,10666258
445794300,object_deleted,,10666191
445815042,object_deleted,,10666128
445899014,object_deleted,,10665984
445902210,object_deleted,,10666256
445907360,object_deleted,,10666257
445910912,object_deleted,,10666255
446058703,object_deleted,,10666190
446064247,object_deleted,,10665979
446512007,object_deleted,,10666252
446532383,object_deleted,,10666254
446539561,object_deleted,,10666253
446571536,object_deleted,,10666207
446572848,object_deleted,,10666204
446573504,object_deleted,,10666208
446574816,object_deleted,,10666206
446580720,object_deleted,,10666205
446581376,object_deleted,,10666209
446582326,object_deleted,,10666210
446607276,object_deleted,,10666211
446608004,object_deleted,,10666213
446609460,object_deleted,,10666212
446642524,object_deleted,,10666203
446715614,object_deleted,,10666216
446717504,object_deleted,,10666214
446721804,object_deleted,,10666217
446723954,object_deleted,,10666215
446731040,object_deleted,,10666218
447227954,object_deleted,,10666246
447229862,object_deleted,,10666249
447231134,object_deleted,,10666245
447233042,object_deleted,,10666248
447233678,object_deleted,,10666244
447234314,object_deleted,,10666059
447236858,object_deleted,,10666243
447238130,object_deleted,,10666247
447265320,object_deleted,,10666250
447267492,object_deleted,,10666251
447274008,object_deleted,,10666051
447586009,object_deleted,,10666242
447598614,object_deleted,,10666241
447601993,object_deleted,,10665932
447603737,object_deleted,,10665929
447603745,object_deleted,,10666239
447603749,object_deleted,,10666237
447604013,object_deleted,,10666240
447604039,object_deleted,,10665931
447604047,object_deleted,,10666047
447604055,object_deleted,,10666238
447604353,object_deleted,,10666045
447605169,object_deleted,,10666236
447609473,object_deleted,,10665998
447613847,object_deleted,,10666035
447614277,object_deleted,,10666032
447618412,object_deleted,,10665973
447619382,object_deleted,,10666227
447620534,object_deleted,,10666229
447621410,object_deleted,,10666228
447625576,object_deleted,,10666226
447625580,object_deleted,,10666225
447625584,object_deleted,,10666224
447625726,object_deleted,,10666223
447625864,object_deleted,,10666049
447625876,object_deleted,,10666222
447625884,object_deleted,,10666221
447625892,object_deleted,,10666220
447625908,object_deleted,,10666219
447630780,object_deleted,,10666230
447631606,object_deleted,,10666144
447631682,object_deleted,,10666234
447631742,object_deleted,,10666143
447631750,object_deleted,,10666233
447631814,object_deleted,,10666142
447631882,object_deleted,,10666141
447631946,object_deleted,,10666140
447632022,object_deleted,,10666101
447632082,object_deleted,,10666139
447632090,object_deleted,,10666232
447632278,object_deleted,,10666100
447632398,object_deleted,,10666099
447632458,object_deleted,,10666231
447634414,object_deleted,,10666155
447635686,object_deleted,,10666156
447636958,object_deleted,,10666039
447637736,object_deleted,,10666235
447638268,object_deleted,,10666145
447638284,object_deleted,,10666138
447643319,object_deleted,,10665971
447644105,object_deleted,,10665968
447644377,object_deleted,,10666043
447644513,object_deleted,,10665966
447644785,object_deleted,,10666148
447646853,object_deleted,,10666069
447647865,object_deleted,,10666146
447648145,object_deleted,,10666103
447648347,object_deleted,,10666171
447648529,object_deleted,,10666170
447648533,object_deleted,,10666161
447649067,object_deleted,,10666166
447649601,object_deleted,,10665963
447649957,object_deleted,,10666063
447650491,object_deleted,,10666169
447650673,object_deleted,,10666102
447650681,object_deleted,,10666168
447651317,object_deleted,,10666167
447651513,object_deleted,,10666165
447651687,object_deleted,,10666164
447652061,object_deleted,,10666163
447652311,object_deleted,,10666162
447653019,object_deleted,,10666104
447653915,object_deleted,,10666065
447656137,object_deleted,,10666108
447656649,object_deleted,,10666106
447657417,object_deleted,,10666095
447657673,object_deleted,,10666097
447658313,object_deleted,,10666064
447658569,object_deleted,,10666105
447658715,object_deleted,,10666094
447659051,object_deleted,,10666098
447659387,object_deleted,,10666096
447659723,object_deleted,,10666107
447669035,object_deleted,,10666159
447669557,object_deleted,,10666158
447673135,object_deleted,,10665937
447673605,object_deleted,,10666160
447696723,object_deleted,,10666137
447699900,object_deleted,,10666058
447703542,object_deleted,,10666150
447707448,object_deleted,,10666149
447709140,object_deleted,,10666151
447709410,object_deleted,,10666154
447709680,object_deleted,,10666153
447709950,object_deleted,,10666152
447710310,object_deleted,,10666062
447715065,object_deleted,,10666080
447717211,object_deleted,,10666085
447722665,object_deleted,,10666084
447725089,object_deleted,,10666086
447728767,object_deleted,,10666088
447729279,object_deleted,,10666093
447729791,object_deleted,,10666092
447731327,object_deleted,,10666089
447733375,object_deleted,,10666090
447734399,object_deleted,,10666087
447735423,object_deleted,,10666091
447748951,object_deleted,,10666061
447749407,object_deleted,,10666079
447749863,object_deleted,,10666060
447749903,object_deleted,,10666078
447750143,object_deleted,,10666077
447750183,object_deleted,,10665996
447750223,object_deleted,,10666076
447750383,object_deleted,,10665961
447750423,object_deleted,,10666075
447750463,object_deleted,,10666074
447768869,object_deleted,,10666083
447771149,object_deleted,,10666173
447771719,object_deleted,,10666082
447773429,object_deleted,,10666174
447773999,object_deleted,,10666172
447774569,object_deleted,,10666081
447775709,object_deleted,,10666175
447975508,object_deleted,,10666134
447980146,object_deleted,,10666136
447986402,object_deleted,,10666132
447990312,object_deleted,,10666135
447993400,object_deleted,,10666131
447997362,object_deleted,,10666129
447999378,object_deleted,,10666130
448014932,object_deleted,,10665923
449390530,object_deleted,,10666055
449413504,object_deleted,,10666056
449555390,object_deleted,,10666025
449605170,object_deleted,,10666073
449605880,object_deleted,,10666072
449609430,object_deleted,,10666071
450226367,object_deleted,,10666070
450287406,object_deleted,,10666020
450287830,object_deleted,,10666022
450355646,object_deleted,,10666067
450443162,object_deleted,,10666028
450445310,object_deleted,,10666066
450487845,object_deleted,,10666068
450489801,object_deleted,,10666015
