object_id_num,object_huldrsadmin_ownerSuppliedName_string,object_urn_string_sort,object_huldrsadmin_adminCategory_text_sort,object_huldrsadmin_ownerCode_string_sort,object_huldrsadmin_billingCode_string,object_mets_type_string,object_huldrsadmin_insertionDate_date,object_huldrsadmin_role_string_sort,object_mets_createDate_date,batch_huldrsadmin_batchDirectoryName_string,batch_id_num,batch_huldrsadmin_loadStartTime_date,batch_huldrsadmin_batchName_string,object_fileCount_num,object_huldrsadmin_adminFlagType_string_sort,object_huldrsadmin_accessFlag_string,object_mods_title_text_sort,object_huldrsadmin_producer_string_sort,object_objectSize_num
446375513,W1FPL4258-I1FPL4258,"urn-3:FHCL:37148630, urn-3:HUL.DRS.OBJECT:37148629",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-23T23:22:07.337Z,,2018-06-22T21:19:29.28Z,batchW1FPL4258-1n,489708,2018-06-23T23:22:07.0Z,FHCL.COLL_batchW1FPL4258-1n_20180622_171932,5,,R,chan: pāṭh--dukanipāt jāt vatthu,Tibetan Buddhist Resource Center,1036521
446375520,W1FPL4245-I1FPL4245,"urn-3:FHCL:37148632, urn-3:HUL.DRS.OBJECT:37148631",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-23T23:22:09.195Z,,2018-06-22T21:18:35.964Z,batchW1FPL4245-1n,489709,2018-06-23T23:22:09.0Z,FHCL.COLL_batchW1FPL4245-1n_20180622_171901,93,,R,abhidhān pāṭh--abhidhammatthavibhāvanī ṭīkā pāṭh--bhikkhūnīpātimoksādhāraṇa pāṭh--bhikkhūnīpātimok nisya,Tibetan Buddhist Resource Center,24443489
446375615,W1FPL303-I1FPL303,"urn-3:FHCL:37148635, urn-3:HUL.DRS.OBJECT:37148633",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-23T23:22:11.19Z,,2018-06-22T20:40:58.449Z,batchW1FPL303-1n,489710,2018-06-23T23:22:11.0Z,FHCL.COLL_batchW1FPL303-1n_20180622_164202,179,,R,samohanasanī ṭīkā pāṭh--vaccavācata ṭīkā--kārikā-ṭīkā pāṭh--bhedacintādīpanī--gandhābhāraṇa ṭīkā-sac; vaccavācaka-; ekakkharakosa-; vibhatyattha-; saddabindu---gandhābharaṇā ṭīkā-sac--ekakkharakosa ṭīkā,Tibetan Buddhist Resource Center,64940184
446375796,W1FPL651-I1FPL651,"urn-3:FHCL:37148636, urn-3:HUL.DRS.OBJECT:37148634",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-23T23:22:11.242Z,,2018-06-22T20:39:21.326Z,batchW1FPL651-1n,489711,2018-06-23T23:22:11.0Z,FHCL.COLL_batchW1FPL651-1n_20180622_164028,198,,R,anāgatavaṅ pāḷi-tō pāṭh--anāgatavaṅ pāḷi-tō nissya--anāgatavaṅ kathā pāth*--dīpavaṅ pāḷi-tō / nalāthadhāthūvaṅ-ṭīkā*--kesadhātuvaṅ pāḷi--thūpavaṅ pāḷi-tō--nalātadhātuvaṅ ṭīkā,Tibetan Buddhist Resource Center,59417016
446375996,W1FPL557-I1FPL557,"urn-3:FHCL:37148638, urn-3:HUL.DRS.OBJECT:37148637",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-23T23:23:04.167Z,,2018-06-22T21:27:48.663Z,batchW1FPL557-1n,489712,2018-06-23T23:23:04.0Z,FHCL.COLL_batchW1FPL557-1n_20180622_172843,175,,R,abhidhammaṭṭhasaṅgahadīpanī*,Tibetan Buddhist Resource Center,56148397
446376173,W1FPL304-I1FPL304,"urn-3:FHCL:37148640, urn-3:HUL.DRS.OBJECT:37148639",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-23T23:24:09.995Z,,2018-06-22T20:43:06.798Z,batchW1FPL304-1n,489713,2018-06-23T23:24:10.0Z,FHCL.COLL_batchW1FPL304-1n_20180622_164353,148,,R,saccasaṃkhip--sucittālaṅkāra nissya,Tibetan Buddhist Resource Center,44829837
446376323,W1FPL652-I1FPL652,"urn-3:FHCL:37148643, urn-3:HUL.DRS.OBJECT:37148641",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-23T23:24:11.761Z,,2018-06-22T20:42:19.440Z,batchW1FPL652-1n,489715,2018-06-23T23:24:12.0Z,FHCL.COLL_batchW1FPL652-1n_20180622_164328,259,,R,padacetīyavandanā*--bhavavinicchayapakāsanī--paṭiccasamuppāddīpaṇī--vipasānānayadīpa kyam:--guṇadīpaṇī--kammaṭhānadīpaṇī--kāyakathānupassanā kammaṭhān,Tibetan Buddhist Resource Center,78588099
446376584,W1FPL426-I1FPL426,"urn-3:FHCL:37148644, urn-3:HUL.DRS.OBJECT:37148642",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-23T23:24:11.825Z,,2018-06-22T21:20:56.861Z,batchW1FPL426-1n,489714,2018-06-23T23:24:11.0Z,FHCL.COLL_batchW1FPL426-1n_20180622_172213,253,,R,paṭhān ’akoṃ--mātikā ’akoṃ*--dhātukathā,Tibetan Buddhist Resource Center,64540673
446376839,W1FPL4261-I1FPL4261,"urn-3:FHCL:37148647, urn-3:HUL.DRS.OBJECT:37148645",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-23T23:25:04.828Z,,2018-06-22T21:23:11.184Z,batchW1FPL4261-1n,489716,2018-06-23T23:25:05.0Z,FHCL.COLL_batchW1FPL4261-1n_20180622_172354,146,,R,sut sīlakkhaṃ aṭhakathā pāṭh,Tibetan Buddhist Resource Center,52746649
446376987,W1FPL305-I1FPL305,"urn-3:FHCL:37148648, urn-3:HUL.DRS.OBJECT:37148646",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-23T23:25:04.941Z,,2018-06-22T20:45:01.94Z,batchW1FPL305-1n,489717,2018-06-23T23:25:05.0Z,FHCL.COLL_batchW1FPL305-1n_20180622_164550,154,,R,aṭṭhasālinī pāṭh--ṭīkā-kyō pāṭh,Tibetan Buddhist Resource Center,48054455
