file_id_num,file_huldrsadmin_ownerSuppliedName_string,file_huldrsadmin_uri_string_sort,file_huldrsadmin_accessFlag_string,file_huldrsadmin_adminCategory_text_sort,object_huldrsadmin_ownerCode_string_sort,object_huldrsadmin_billingCode_string,file_premis_format_string,file_mets_mimetype_string,file_huldrsadmin_insertionDate_date,file_huldrsadmin_suppliedFilename_string,file_huldrsadmin_role_string_sort,batch_huldrsadmin_batchDirectoryName_string,batch_id_num,batch_huldrsadmin_loadStartTime_date,batch_huldrsadmin_batchName_string,file_huldrsadmin_adminFlagType_string_sort,object_mets_type_string,object_huldrsadmin_producer_string_sort,file_huldrsadmin_producer_string_sort,file_premis_size_num
459302219,W25093-Outline,urn-3:FHCL:37588914,P,,FHCL.COLL,FHCL.COLL.TBRC_0001,Turtle,text/turtle,2018-10-05T19:05:04.817Z,W25093-Outline--W25093-Outline.ttl,,outlineW25093-Outline,607687,2018-10-05T19:05:03.0Z,FHCL.COLL_outlineW25093-Outline_20181005_145502,"FAILED_METADATA_EXTRACTION, FORMAT_ID_CONFLICT",TEXT,Tibetan Buddhist Resource Center,Tibetan Buddhist Resource Center,14861
459302211,W19837-Outline,urn-3:FHCL:37588919,P,,FHCL.COLL,FHCL.COLL.TBRC_0001,Turtle,text/turtle,2018-10-05T19:05:05.602Z,W19837-Outline--W19837-Outline.ttl,,outlineW19837-Outline,607688,2018-10-05T19:05:03.0Z,FHCL.COLL_outlineW19837-Outline_20181005_145558,"FAILED_METADATA_EXTRACTION, FORMAT_ID_CONFLICT",TEXT,Tibetan Buddhist Resource Center,Tibetan Buddhist Resource Center,952742
459302214,W30084-Outline,urn-3:FHCL:37588918,P,,FHCL.COLL,FHCL.COLL.TBRC_0001,Turtle,text/turtle,2018-10-05T19:05:05.596Z,W30084-Outline--W30084-Outline.ttl,,outlineW30084-Outline,607686,2018-10-05T19:05:03.0Z,FHCL.COLL_outlineW30084-Outline_20181005_143447,"FAILED_METADATA_EXTRACTION, FORMAT_ID_CONFLICT",TEXT,Tibetan Buddhist Resource Center,Tibetan Buddhist Resource Center,12980
459302225,W25094-Outline,urn-3:FHCL:37588921,P,,FHCL.COLL,FHCL.COLL.TBRC_0001,Turtle,text/turtle,2018-10-05T19:05:06.308Z,W25094-Outline--W25094-Outline.ttl,,outlineW25094-Outline,607690,2018-10-05T19:05:06.0Z,FHCL.COLL_outlineW25094-Outline_20181005_145651,"FAILED_METADATA_EXTRACTION, FORMAT_ID_CONFLICT",TEXT,Tibetan Buddhist Resource Center,Tibetan Buddhist Resource Center,48532
