object_id_num,object_huldrsadmin_ownerSuppliedName_string,object_urn_string_sort,object_huldrsadmin_adminCategory_text_sort,object_huldrsadmin_ownerCode_string_sort,object_huldrsadmin_billingCode_string,object_mets_type_string,object_huldrsadmin_insertionDate_date,object_huldrsadmin_role_string_sort,batch_huldrsadmin_batchDirectoryName_string,batch_id_num,batch_huldrsadmin_loadStartTime_date,batch_huldrsadmin_batchName_string,object_fileCount_num,object_huldrsadmin_adminFlagType_string_sort,object_huldrsadmin_accessFlag_string,object_mods_title_text_sort,object_huldrsadmin_producer_string_sort,object_objectSize_num
453423146,W3CN414-I3CN2857,"urn-3:FHCL:37311822, urn-3:HUL.DRS.OBJECT:37311821",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-07-30T14:35:32.691Z,,batchW3CN414-1-11,527674,2018-07-30T14:35:31.0Z,FHCL.COLL_batchW3CN414-1-11_20180726_232328,404,,R,"bka' gter zung 'jug gshin rje tshe bdag gi dbang rdo rje'i go khrab, bka' gter zung 'jug gi dbang chog dang sgrub thabs sogs 'ga' zhig, བཀའ་གཏེར་ཟུང་འཇུག་གཤིན་རྗེ་ཚེ་བདག་གི་དབང་རྡོ་རྗེའི་གོ་ཁྲབ།",Tibetan Buddhist Resource Center,108712287
453423552,W23621-2612,"urn-3:FHCL:37311828, urn-3:HUL.DRS.OBJECT:37311827",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-07-30T14:39:24.999Z,,batchW23621-1-10,527676,2018-07-30T14:39:24.0Z,FHCL.COLL_batchW23621-1-10_20180726_221945,668,,R,"the collected works (gsun 'bum) of ri-bo-che rje-drun byams-pa-'byun-gnas, gsung 'bum/_byams pa 'byung gnas, expanded redaction of the collected works (gsun 'bum) of ri-bo-che rje-drun byams-pa-'byun-gnas",Tibetan Buddhist Resource Center,329287164
453423682,W3CN4059-I3CN8580,"urn-3:FHCL:37311824, urn-3:HUL.DRS.OBJECT:37311823",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-07-30T14:38:40.30Z,,batchW3CN4059-1-c4,527675,2018-07-30T14:38:39.0Z,FHCL.COLL_batchW3CN4059-1-c4_20180727_001551,758,,R,"karma mkhan po'i gsung 'bum, gsung 'bum/ karma mkhan po, ཀརྨ་མཁན་པོའི་གསུང་འབུམ།",Tibetan Buddhist Resource Center,28798653
453425712,W23621-2613,"urn-3:FHCL:37311832, urn-3:HUL.DRS.OBJECT:37311831",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-07-30T14:40:14.176Z,,batchW23621-1-10,527676,2018-07-30T14:39:24.0Z,FHCL.COLL_batchW23621-1-10_20180726_221945,640,,R,"the collected works (gsun 'bum) of ri-bo-che rje-drun byams-pa-'byun-gnas, gsung 'bum/_byams pa 'byung gnas, expanded redaction of the collected works (gsun 'bum) of ri-bo-che rje-drun byams-pa-'byun-gnas",Tibetan Buddhist Resource Center,315370823
453426354,W3CN4059-I3CN8581,"urn-3:FHCL:37311826, urn-3:HUL.DRS.OBJECT:37311825",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-07-30T14:39:20.484Z,,batchW3CN4059-1-c4,527675,2018-07-30T14:38:39.0Z,FHCL.COLL_batchW3CN4059-1-c4_20180727_001551,664,,R,"karma mkhan po'i gsung 'bum, gsung 'bum/ karma mkhan po, ཀརྨ་མཁན་པོའི་གསུང་འབུམ།",Tibetan Buddhist Resource Center,26229786
453427652,W23621-2614,"urn-3:FHCL:37311838, urn-3:HUL.DRS.OBJECT:37311837",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-07-30T14:41:17.690Z,,batchW23621-1-10,527676,2018-07-30T14:39:24.0Z,FHCL.COLL_batchW23621-1-10_20180726_221945,568,,R,"the collected works (gsun 'bum) of ri-bo-che rje-drun byams-pa-'byun-gnas, gsung 'bum/_byams pa 'byung gnas, expanded redaction of the collected works (gsun 'bum) of ri-bo-che rje-drun byams-pa-'byun-gnas",Tibetan Buddhist Resource Center,280203105
453428222,W3CN4059-I3CN8582,"urn-3:FHCL:37311830, urn-3:HUL.DRS.OBJECT:37311829",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-07-30T14:40:06.822Z,,batchW3CN4059-1-c4,527675,2018-07-30T14:38:39.0Z,FHCL.COLL_batchW3CN4059-1-c4_20180727_001551,654,,R,"karma mkhan po'i gsung 'bum, gsung 'bum/ karma mkhan po, ཀརྨ་མཁན་པོའི་གསུང་འབུམ།",Tibetan Buddhist Resource Center,25923174
453429572,W23621-2615,"urn-3:FHCL:37311848, urn-3:HUL.DRS.OBJECT:37311847",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-07-30T14:42:17.421Z,,batchW23621-1-10,527676,2018-07-30T14:39:24.0Z,FHCL.COLL_batchW23621-1-10_20180726_221945,632,,R,"the collected works (gsun 'bum) of ri-bo-che rje-drun byams-pa-'byun-gnas, gsung 'bum/_byams pa 'byung gnas, expanded redaction of the collected works (gsun 'bum) of ri-bo-che rje-drun byams-pa-'byun-gnas",Tibetan Buddhist Resource Center,311648185
453430206,W3CN4059-I3CN8583,"urn-3:FHCL:37311836, urn-3:HUL.DRS.OBJECT:37311835",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-07-30T14:40:51.612Z,,batchW3CN4059-1-c4,527675,2018-07-30T14:38:39.0Z,FHCL.COLL_batchW3CN4059-1-c4_20180727_001551,676,,R,"karma mkhan po'i gsung 'bum, gsung 'bum/ karma mkhan po, ཀརྨ་མཁན་པོའི་གསུང་འབུམ།",Tibetan Buddhist Resource Center,26204293
453431462,W23621-2616,"urn-3:FHCL:37311860, urn-3:HUL.DRS.OBJECT:37311859",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-07-30T14:43:21.225Z,,batchW23621-1-10,527676,2018-07-30T14:39:24.0Z,FHCL.COLL_batchW23621-1-10_20180726_221945,532,,R,"the collected works (gsun 'bum) of ri-bo-che rje-drun byams-pa-'byun-gnas, gsung 'bum/_byams pa 'byung gnas, expanded redaction of the collected works (gsun 'bum) of ri-bo-che rje-drun byams-pa-'byun-gnas",Tibetan Buddhist Resource Center,262521585
