object_id_num,object_huldrsadmin_ownerSuppliedName_string,object_urn_string_sort,object_huldrsadmin_adminCategory_text_sort,object_huldrsadmin_ownerCode_string_sort,object_huldrsadmin_billingCode_string,object_mets_type_string,object_huldrsadmin_role_string_sort,batch_huldrsadmin_batchDirectoryName_string,batch_id_num,batch_huldrsadmin_loadStartTime_date,batch_huldrsadmin_batchName_string,object_fileCount_num,object_huldrsadmin_adminFlagType_string_sort,object_huldrsadmin_accessFlag_string,object_mods_title_text_sort,object_huldrsadmin_producer_string_sort,object_objectSize_num
445924604,W1KG4313-I1KG17485,"urn-3:FHCL:37142457, urn-3:HUL.DRS.OBJECT:37142455",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1KG4313-1n,482674,2018-06-21T15:30:18.0Z,FHCL.COLL_batchW1KG4313-1n_20180619_100331,598,,R,"grags chen bco brgyad, གྲགས་ཆེན་བཅོ་བརྒྱད།, the 18 basic scriptures, grags chen bco brgyad = the 18 basic scriptures",Tibetan Buddhist Resource Center,23144289
445925204,W1KG4313-I1KG17486,"urn-3:FHCL:37142466, urn-3:HUL.DRS.OBJECT:37142465",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1KG4313-1n,482674,2018-06-21T15:30:18.0Z,FHCL.COLL_batchW1KG4313-1n_20180619_100331,598,,R,"grags chen bco brgyad, གྲགས་ཆེན་བཅོ་བརྒྱད།, the 18 basic scriptures, grags chen bco brgyad = the 18 basic scriptures",Tibetan Buddhist Resource Center,23144289
445925804,W1KG4313-I1KG17487,"urn-3:FHCL:37142474, urn-3:HUL.DRS.OBJECT:37142473",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1KG4313-1n,482674,2018-06-21T15:30:18.0Z,FHCL.COLL_batchW1KG4313-1n_20180619_100331,598,,R,"grags chen bco brgyad, གྲགས་ཆེན་བཅོ་བརྒྱད།, the 18 basic scriptures, grags chen bco brgyad = the 18 basic scriptures",Tibetan Buddhist Resource Center,23144289
445926404,W1KG4313-I1KG17488,"urn-3:FHCL:37142482, urn-3:HUL.DRS.OBJECT:37142481",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1KG4313-1n,482674,2018-06-21T15:30:18.0Z,FHCL.COLL_batchW1KG4313-1n_20180619_100331,598,,R,"grags chen bco brgyad, གྲགས་ཆེན་བཅོ་བརྒྱད།, the 18 basic scriptures, grags chen bco brgyad = the 18 basic scriptures",Tibetan Buddhist Resource Center,23144289
445927004,W1KG4313-I1KG17489,"urn-3:FHCL:37142490, urn-3:HUL.DRS.OBJECT:37142489",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1KG4313-1n,482674,2018-06-21T15:30:18.0Z,FHCL.COLL_batchW1KG4313-1n_20180619_100331,598,,R,"grags chen bco brgyad, གྲགས་ཆེན་བཅོ་བརྒྱད།, the 18 basic scriptures, grags chen bco brgyad = the 18 basic scriptures",Tibetan Buddhist Resource Center,23144289
445927604,W1KG4313-I1KG17490,"urn-3:FHCL:37142498, urn-3:HUL.DRS.OBJECT:37142497",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1KG4313-1n,482674,2018-06-21T15:30:18.0Z,FHCL.COLL_batchW1KG4313-1n_20180619_100331,598,,R,"grags chen bco brgyad, གྲགས་ཆེན་བཅོ་བརྒྱད།, the 18 basic scriptures, grags chen bco brgyad = the 18 basic scriptures",Tibetan Buddhist Resource Center,23144289
445928204,W1KG4313-I1KG17491,"urn-3:FHCL:37142508, urn-3:HUL.DRS.OBJECT:37142507",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1KG4313-1n,482674,2018-06-21T15:30:18.0Z,FHCL.COLL_batchW1KG4313-1n_20180619_100331,598,,R,"grags chen bco brgyad, གྲགས་ཆེན་བཅོ་བརྒྱད།, the 18 basic scriptures, grags chen bco brgyad = the 18 basic scriptures",Tibetan Buddhist Resource Center,23144289
445928804,W1KG4313-I1KG17492,"urn-3:FHCL:37142514, urn-3:HUL.DRS.OBJECT:37142513",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1KG4313-1n,482674,2018-06-21T15:30:18.0Z,FHCL.COLL_batchW1KG4313-1n_20180619_100331,598,,R,"grags chen bco brgyad, གྲགས་ཆེན་བཅོ་བརྒྱད།, the 18 basic scriptures, grags chen bco brgyad = the 18 basic scriptures",Tibetan Buddhist Resource Center,23144289
445929404,W1KG4313-I1KG17493,"urn-3:FHCL:37142520, urn-3:HUL.DRS.OBJECT:37142519",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1KG4313-1n,482674,2018-06-21T15:30:18.0Z,FHCL.COLL_batchW1KG4313-1n_20180619_100331,598,,R,"grags chen bco brgyad, གྲགས་ཆེན་བཅོ་བརྒྱད།, the 18 basic scriptures, grags chen bco brgyad = the 18 basic scriptures",Tibetan Buddhist Resource Center,23144289
445930004,W1KG4313-I1KG17494,"urn-3:FHCL:37142522, urn-3:HUL.DRS.OBJECT:37142521",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1KG4313-1n,482674,2018-06-21T15:30:18.0Z,FHCL.COLL_batchW1KG4313-1n_20180619_100331,598,,R,"grags chen bco brgyad, གྲགས་ཆེན་བཅོ་བརྒྱད།, the 18 basic scriptures, grags chen bco brgyad = the 18 basic scriptures",Tibetan Buddhist Resource Center,23144289
445930604,W1KG4313-I1KG17495,"urn-3:FHCL:37142526, urn-3:HUL.DRS.OBJECT:37142525",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1KG4313-1n,482674,2018-06-21T15:30:18.0Z,FHCL.COLL_batchW1KG4313-1n_20180619_100331,598,,R,"grags chen bco brgyad, གྲགས་ཆེན་བཅོ་བརྒྱད།, the 18 basic scriptures, grags chen bco brgyad = the 18 basic scriptures",Tibetan Buddhist Resource Center,23144289
445931204,W1KG4313-I1KG17496,"urn-3:FHCL:37142530, urn-3:HUL.DRS.OBJECT:37142529",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1KG4313-1n,482674,2018-06-21T15:30:18.0Z,FHCL.COLL_batchW1KG4313-1n_20180619_100331,598,,R,"grags chen bco brgyad, གྲགས་ཆེན་བཅོ་བརྒྱད།, the 18 basic scriptures, grags chen bco brgyad = the 18 basic scriptures",Tibetan Buddhist Resource Center,23144289
445931804,W1KG4313-I1KG17497,"urn-3:FHCL:37142534, urn-3:HUL.DRS.OBJECT:37142533",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1KG4313-1n,482674,2018-06-21T15:30:18.0Z,FHCL.COLL_batchW1KG4313-1n_20180619_100331,598,,R,"grags chen bco brgyad, གྲགས་ཆེན་བཅོ་བརྒྱད།, the 18 basic scriptures, grags chen bco brgyad = the 18 basic scriptures",Tibetan Buddhist Resource Center,23144289
445932404,W1KG4313-I1KG17498,"urn-3:FHCL:37142538, urn-3:HUL.DRS.OBJECT:37142537",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1KG4313-1n,482674,2018-06-21T15:30:18.0Z,FHCL.COLL_batchW1KG4313-1n_20180619_100331,598,,R,"grags chen bco brgyad, གྲགས་ཆེན་བཅོ་བརྒྱད།, the 18 basic scriptures, grags chen bco brgyad = the 18 basic scriptures",Tibetan Buddhist Resource Center,23144289
445933004,W1KG4313-I1KG17499,"urn-3:FHCL:37142542, urn-3:HUL.DRS.OBJECT:37142541",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1KG4313-1n,482674,2018-06-21T15:30:18.0Z,FHCL.COLL_batchW1KG4313-1n_20180619_100331,598,,R,"grags chen bco brgyad, གྲགས་ཆེན་བཅོ་བརྒྱད།, the 18 basic scriptures, grags chen bco brgyad = the 18 basic scriptures",Tibetan Buddhist Resource Center,23144289
445933604,W1KG4313-I1KG17500,"urn-3:FHCL:37142544, urn-3:HUL.DRS.OBJECT:37142543",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1KG4313-1n,482674,2018-06-21T15:30:18.0Z,FHCL.COLL_batchW1KG4313-1n_20180619_100331,598,,R,"grags chen bco brgyad, གྲགས་ཆེན་བཅོ་བརྒྱད།, the 18 basic scriptures, grags chen bco brgyad = the 18 basic scriptures",Tibetan Buddhist Resource Center,23144289
445934204,W1KG4313-I1KG17501,"urn-3:FHCL:37142546, urn-3:HUL.DRS.OBJECT:37142545",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1KG4313-1n,482674,2018-06-21T15:30:18.0Z,FHCL.COLL_batchW1KG4313-1n_20180619_100331,598,,R,"grags chen bco brgyad, གྲགས་ཆེན་བཅོ་བརྒྱད།, the 18 basic scriptures, grags chen bco brgyad = the 18 basic scriptures",Tibetan Buddhist Resource Center,23144289
