object_id_num,object_huldrsadmin_ownerSuppliedName_string,object_urn_string_sort,object_huldrsadmin_adminCategory_text_sort,object_huldrsadmin_ownerCode_string_sort,object_huldrsadmin_billingCode_string,object_mets_type_string,object_huldrsadmin_insertionDate_date,object_huldrsadmin_role_string_sort,object_mets_createDate_date,batch_huldrsadmin_batchDirectoryName_string,batch_id_num,batch_huldrsadmin_loadStartTime_date,batch_huldrsadmin_batchName_string,object_fileCount_num,object_huldrsadmin_adminFlagType_string_sort,object_huldrsadmin_accessFlag_string,object_mods_title_text_sort,object_huldrsadmin_producer_string_sort,object_objectSize_num
446484176,W1KG13771-I1KG15224,"urn-3:FHCL:37153080, urn-3:HUL.DRS.OBJECT:37153078",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-25T18:44:13.250Z,,2018-06-23T22:14:10.986Z,batchW1KG13771-1n,493671,2018-06-25T18:44:12.0Z,FHCL.COLL_batchW1KG13771-1n_20180623_181502,306,,R,"lhags pa grang bsil bsil/ sems pa skyo lhang lhang, ལྷགས་པ་གྲང་བསིལ་བསིལ། སེམས་པ་སྐྱོ་ལྷང་ལྷང་།",Tibetan Buddhist Resource Center,19070223
446484186,W1FPL837-I1FPL837,"urn-3:FHCL:37153081, urn-3:HUL.DRS.OBJECT:37153079",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-25T18:44:13.592Z,,2018-06-23T20:57:16.879Z,batchW1FPL837-1n,493672,2018-06-25T18:44:12.0Z,FHCL.COLL_batchW1FPL837-1n_20180623_165826,242,,R,aṭhasālini pāṭh,Tibetan Buddhist Resource Center,84330379
446484728,W1FPL838-I1FPL838,"urn-3:FHCL:37153083, urn-3:HUL.DRS.OBJECT:37153082",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-25T18:46:12.396Z,,2018-06-23T21:00:10.477Z,batchW1FPL838-1n,493673,2018-06-25T18:46:12.0Z,FHCL.COLL_batchW1FPL838-1n_20180623_170133,287,,R,abhidhammasaṅgruih nissya*,Tibetan Buddhist Resource Center,102645009
446484858,W1FPL760-I1FPL760,"urn-3:FHCL:37153085, urn-3:HUL.DRS.OBJECT:37153084",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-25T18:46:14.576Z,,2018-06-23T20:37:03.73Z,batchW1FPL760-1n,493674,2018-06-25T18:46:14.0Z,FHCL.COLL_batchW1FPL760-1n_20180623_163958,433,,R,mahāvā pāḷi-tō nissya,Tibetan Buddhist Resource Center,118773535
446485452,W1FPL839-I1FPL839,"urn-3:FHCL:37153087, urn-3:HUL.DRS.OBJECT:37153086",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-25T18:47:03.880Z,,2018-06-23T21:02:38.629Z,batchW1FPL839-1n,493675,2018-06-25T18:47:04.0Z,FHCL.COLL_batchW1FPL839-1n_20180623_170324,142,,R,bhikkhunīvibhaṅ:--mahāvā pāḷi-tō,Tibetan Buddhist Resource Center,54336363
446485596,W1KG13773-I1KG15227,"urn-3:FHCL:37153089, urn-3:HUL.DRS.OBJECT:37153088",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-25T18:47:09.94Z,,2018-06-23T22:16:40.503Z,batchW1KG13773-1n,493676,2018-06-25T18:47:09.0Z,FHCL.COLL_batchW1KG13773-1n_20180623_181819,574,,R,"mi lo 50 ring gi mdo khams chu bzhi sgang drug gi lo rgyus phyogs bsdus, མི་ལོ ༥༠ རིང་གི་མདོ་ཁམས་ཆུ་བཞི་སྒང་དྲུག་གི་ལོ་རྒྱུས་ཕྱོགས་བསྡུས།, mi lo lnga bcu ring gi mdo khams chu bzhi sgang drug gi lo rgyus phyogs bsdus, Mi lo 50 riṅ gi Mdo-khams Chu-bźi Sgaṅ-drug gi lo rgyus phyogs bsgrigs",Tibetan Buddhist Resource Center,59970756
446486172,W1FPL84-I1FPL84,"urn-3:FHCL:37153091, urn-3:HUL.DRS.OBJECT:37153090",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-25T18:48:11.106Z,,2018-06-23T21:04:39.612Z,batchW1FPL84-1n,493677,2018-06-25T18:48:11.0Z,FHCL.COLL_batchW1FPL84-1n_20180623_170534,250,,R,saddanītidhātumālā pāṭh--saddanītipadamālā pāṭh,Tibetan Buddhist Resource Center,75782157
446486424,W1FPL761-I1FPL761,"urn-3:FHCL:37153093, urn-3:HUL.DRS.OBJECT:37153092",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-25T18:48:13.702Z,,2018-06-23T20:42:26.144Z,batchW1FPL761-1n,493678,2018-06-25T18:48:13.0Z,FHCL.COLL_batchW1FPL761-1n_20180623_164442,387,,R,mahāvā pāḷi-tō--parivā pāḷi-tō pāṭh,Tibetan Buddhist Resource Center,141858463
446486813,W1KG13774-I1KG15229,"urn-3:FHCL:37153095, urn-3:HUL.DRS.OBJECT:37153094",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-25T18:49:07.771Z,,2018-06-23T22:20:03.898Z,batchW1KG13774-1n,493679,2018-06-25T18:49:07.0Z,FHCL.COLL_batchW1KG13774-1n_20180623_182145,574,,R,"mdo khams chu bzhi sgang drug bstan srung dwangs blangs dpa' bo'i dmag 'thab lo rgyus, མདོ་ཁམས་ཆུ་བཞི་སྒང་དྲུག་བསྟན་སྲུང་དྭངས་བླངས་དཔའ་བོའི་དམག་འཐབ་ལོ་རྒྱུས།, mdo khams chu bzhi sgang drug bstan srung dwangs blangs dmag gi lo rgyus",Tibetan Buddhist Resource Center,45890615
446487389,W1KG13775-I1KG15231,"urn-3:FHCL:37153097, urn-3:HUL.DRS.OBJECT:37153096",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-25T18:50:09.598Z,,2018-06-23T22:22:19.453Z,batchW1KG13775-1n,493680,2018-06-25T18:50:09.0Z,FHCL.COLL_batchW1KG13775-1n_20180623_182243,112,,R,"zhing gshegs dam pa skyabs rje bdud 'joms rin po che mchog nas gsungs pa'i nang pa sangs rgyas pa'i chos kyi gnas lugs go bde dad ldan rna ba'i bdud rtsi, ཞིང་གཤེགས་དམ་པ་སྐྱབས་རྗེ་བདུད་འཇོམས་རིན་པོ་ཆེ་མཆོག་ནས་གསུངས་པའི་ནང་པ་སངས་རྒྱས་པའི་ཆོས་ཀྱི་གནས་ལུགས་གོ་བདེ་དད་ལྡན་རྣ་བའི་བདུད་རྩི།, bdud 'joms rin po che mchog nas gsungs pa'i nang pa sangs rgyas pa'i chos kyi gnas lugs go bde dad ldan rna ba'i bdud rtsi",Tibetan Buddhist Resource Center,5267037
