object_id_num,object_huldrsadmin_ownerSuppliedName_string,object_urn_string_sort,object_huldrsadmin_adminCategory_text_sort,object_huldrsadmin_ownerCode_string_sort,object_huldrsadmin_billingCode_string,object_mets_type_string,object_huldrsadmin_insertionDate_date,object_huldrsadmin_role_string_sort,batch_huldrsadmin_batchDirectoryName_string,batch_id_num,batch_huldrsadmin_loadStartTime_date,batch_huldrsadmin_batchName_string,object_fileCount_num,object_huldrsadmin_adminFlagType_string_sort,object_huldrsadmin_accessFlag_string,object_mods_title_text_sort,object_huldrsadmin_producer_string_sort,object_objectSize_num
453844699,W3CN6673-I3CN6675,"urn-3:FHCL:37328069, urn-3:HUL.DRS.OBJECT:37328068",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-08-01T20:31:25.456Z,,batchW3CN6673-1-f2,549672,2018-08-01T20:31:25.0Z,FHCL.COLL_batchW3CN6673-1-f2_20180728_015910,156,,R,"btsan po'i rgyal rabs skabs kyi 'dun mabasdu ba'i lam lugs, བཙན་པོའི་རྒྱལ་རབས་སྐབས་ཀྱི་འདུན་མབསྡུ་བའི་ལམ་ལུགས།",Tibetan Buddhist Resource Center,3239567
453844857,W3CN6027-I3CN6029,"urn-3:FHCL:37328071, urn-3:HUL.DRS.OBJECT:37328070",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-08-01T20:31:29.509Z,,batchW3CN6027-1-e6,549673,2018-08-01T20:31:29.0Z,FHCL.COLL_batchW3CN6027-1-e6_20180727_214937,428,,R,"gna' bo'i bon grong zhig gi shes rig, snye mo bzang ri'i lo rgyus dang rig gnas, གནའ་བོའི་བོན་གྲོང་ཞིག་གི་ཤེས་རིག",Tibetan Buddhist Resource Center,20218950
453846009,W3CN7487-I3CN7489,"urn-3:FHCL:37328077, urn-3:HUL.DRS.OBJECT:37328076",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-08-01T20:31:54.741Z,,batchW3CN7487-1-6d,549676,2018-08-01T20:31:54.0Z,FHCL.COLL_batchW3CN7487-1-6d_20180727_194022,1164,,R,"'phags pa shes rab kyi pha rol du phyin pa brgyad stong pa, འཕགས་པ་ཤེས་རབ་ཀྱི་ཕ་རོལ་དུ་ཕྱིན་པ་བརྒྱད་སྟོང་པ།",Tibetan Buddhist Resource Center,174896975
453851459,W3CN6837-I3CN6839,"urn-3:FHCL:37328073, urn-3:HUL.DRS.OBJECT:37328072",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-08-01T20:31:37.220Z,,batchW3CN6837-1-61,549674,2018-08-01T20:31:37.0Z,FHCL.COLL_batchW3CN6837-1-61_20180727_180806,70,,R,"四祥瑞的故事, mthun pa spun bzhi",Tibetan Buddhist Resource Center,14260445
453851531,W3CN6828-I3CN6830,"urn-3:FHCL:37328075, urn-3:HUL.DRS.OBJECT:37328074",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-08-01T20:31:46.399Z,,batchW3CN6828-1-60,549675,2018-08-01T20:31:46.0Z,FHCL.COLL_batchW3CN6828-1-60_20180727_180247,316,,R,"theg chen bstan pa'i snying po'i rtsa 'grel, ཐེག་ཆེན་བསྟན་པའི་སྙིང་པོའི་རྩ་འགྲེལ།",Tibetan Buddhist Resource Center,6257693
453851849,W3CN626-I3CN628,"urn-3:FHCL:37328083, urn-3:HUL.DRS.OBJECT:37328082",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-08-01T20:32:56.879Z,,batchW3CN626-1-a8,549678,2018-08-01T20:32:56.0Z,FHCL.COLL_batchW3CN626-1-a8_20180727_222644,608,,R,"theg pa'i sgo kun las btus pa gsung rab rim po che'i mdzod bslab pa gsum legs par ston pa'i bstan bcos shes bya kun khyab, shes bya kun khyab, shes bya mdzod, ཐེག་པའི་སྒོ་ཀུན་ལས་བཏུས་པ་གསུང་རབ་རིམ་པོ་ཆེའི་མཛོད་བསླབ་པ་གསུམ་ལེགས་པར་སྟོན་པའི་བསྟན་བཅོས་ཤེས་བྱ་ཀུན་ཁྱབ།",Tibetan Buddhist Resource Center,163537925
453852459,W3CN626-I3CN629,"urn-3:FHCL:37328089, urn-3:HUL.DRS.OBJECT:37328088",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-08-01T20:33:33.103Z,,batchW3CN626-1-a8,549678,2018-08-01T20:32:56.0Z,FHCL.COLL_batchW3CN626-1-a8_20180727_222644,788,,R,"theg pa'i sgo kun las btus pa gsung rab rim po che'i mdzod bslab pa gsum legs par ston pa'i bstan bcos shes bya kun khyab, shes bya kun khyab, shes bya mdzod, ཐེག་པའི་སྒོ་ཀུན་ལས་བཏུས་པ་གསུང་རབ་རིམ་པོ་ཆེའི་མཛོད་བསླབ་པ་གསུམ་ལེགས་པར་སྟོན་པའི་བསྟན་བཅོས་ཤེས་བྱ་ཀུན་ཁྱབ།",Tibetan Buddhist Resource Center,213783750
453853249,W3CN626-I3CN630,"urn-3:FHCL:37328095, urn-3:HUL.DRS.OBJECT:37328094",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-08-01T20:34:28.39Z,,batchW3CN626-1-a8,549678,2018-08-01T20:32:56.0Z,FHCL.COLL_batchW3CN626-1-a8_20180727_222644,766,,R,"theg pa'i sgo kun las btus pa gsung rab rim po che'i mdzod bslab pa gsum legs par ston pa'i bstan bcos shes bya kun khyab, shes bya kun khyab, shes bya mdzod, ཐེག་པའི་སྒོ་ཀུན་ལས་བཏུས་པ་གསུང་རབ་རིམ་པོ་ཆེའི་མཛོད་བསླབ་པ་གསུམ་ལེགས་པར་སྟོན་པའི་བསྟན་བཅོས་ཤེས་བྱ་ཀུན་ཁྱབ།",Tibetan Buddhist Resource Center,201295651
453854017,W3CN6624-I3CN8675,"urn-3:FHCL:37328079, urn-3:HUL.DRS.OBJECT:37328078",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-08-01T20:32:28.732Z,,batchW3CN6624-1-d9,549677,2018-08-01T20:32:28.0Z,FHCL.COLL_batchW3CN6624-1-d9_20180728_013751,488,,R,"dkyil zur yongs 'dzin blo bzang sbyin pa'i gsung 'bum, gsung 'bum/ dkyil zur blo bzang sbyin pa, དཀྱིལ་ཟུར་ཡོངས་འཛིན་བློ་བཟང་སྦྱིན་པའི་གསུང་འབུམ།",Tibetan Buddhist Resource Center,24755596
453854507,W3CN6624-I3CN8676,"urn-3:FHCL:37328081, urn-3:HUL.DRS.OBJECT:37328080",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-08-01T20:32:54.231Z,,batchW3CN6624-1-d9,549677,2018-08-01T20:32:28.0Z,FHCL.COLL_batchW3CN6624-1-d9_20180728_013751,574,,R,"dkyil zur yongs 'dzin blo bzang sbyin pa'i gsung 'bum, gsung 'bum/ dkyil zur blo bzang sbyin pa, དཀྱིལ་ཟུར་ཡོངས་འཛིན་བློ་བཟང་སྦྱིན་པའི་གསུང་འབུམ།",Tibetan Buddhist Resource Center,28398505
