OBJ-ID	OBJ-DELIV-URN	OBJ-URN	DEPOSITOR	OBJ-OSN	BILLING	OWNER	OBJ-TYPE	OBJ-ROLES	FILE-ID	FILE-URN	FILE-FORMAT	FILE-SIZE	FILE-OSN	FILE-ORIGPATH	
400002600	urn-3:FHCL:352141	urn-3:HUL.DRS.OBJECT:352140	Wallman, Jeffrey	W12827-2061	FHCL.COLL.TBRC_0001	FHCL.COLL	PDS DOCUMENT		400002782		Tagged Image File Format	38130	20610181__0181	image/W12827-2061--20610181__0181.TIF
400002600	urn-3:FHCL:352141	urn-3:HUL.DRS.OBJECT:352140	Wallman, Jeffrey	W12827-2061	FHCL.COLL.TBRC_0001	FHCL.COLL	PDS DOCUMENT		400002784		Tagged Image File Format	37772	20610183__0183	image/W12827-2061--20610183__0183.TIF
400002600	urn-3:FHCL:352141	urn-3:HUL.DRS.OBJECT:352140	Wallman, Jeffrey	W12827-2061	FHCL.COLL.TBRC_0001	FHCL.COLL	PDS DOCUMENT		400002786		Tagged Image File Format	22618	20610185__0185	image/W12827-2061--20610185__0185.TIF
400002600	urn-3:FHCL:352141	urn-3:HUL.DRS.OBJECT:352140	Wallman, Jeffrey	W12827-2061	FHCL.COLL.TBRC_0001	FHCL.COLL	PDS DOCUMENT		400002788		Tagged Image File Format	10209	20610187__0187	image/W12827-2061--20610187__0187.TIF
400002600	urn-3:FHCL:352141	urn-3:HUL.DRS.OBJECT:352140	Wallman, Jeffrey	W12827-2061	FHCL.COLL.TBRC_0001	FHCL.COLL	PDS DOCUMENT		400002797		Tagged Image File Format	37466	20610196__0196	image/W12827-2061--20610196__0196.TIF
400002600	urn-3:FHCL:352141	urn-3:HUL.DRS.OBJECT:352140	Wallman, Jeffrey	W12827-2061	FHCL.COLL.TBRC_0001	FHCL.COLL	PDS DOCUMENT		400002799		Tagged Image File Format	38119	20610198__0198	image/W12827-2061--20610198__0198.TIF
400002600	urn-3:FHCL:352141	urn-3:HUL.DRS.OBJECT:352140	Wallman, Jeffrey	W12827-2061	FHCL.COLL.TBRC_0001	FHCL.COLL	PDS DOCUMENT		400002801		Tagged Image File Format	38396	20610200__0200	image/W12827-2061--20610200__0200.TIF
400002600	urn-3:FHCL:352141	urn-3:HUL.DRS.OBJECT:352140	Wallman, Jeffrey	W12827-2061	FHCL.COLL.TBRC_0001	FHCL.COLL	PDS DOCUMENT		400002803		Tagged Image File Format	37594	20610202__0202	image/W12827-2061--20610202__0202.TIF
400002600	urn-3:FHCL:352141	urn-3:HUL.DRS.OBJECT:352140	Wallman, Jeffrey	W12827-2061	FHCL.COLL.TBRC_0001	FHCL.COLL	PDS DOCUMENT		400002804		Tagged Image File Format	37273	20610203__0203	image/W12827-2061--20610203__0203.TIF
400002600	urn-3:FHCL:352141	urn-3:HUL.DRS.OBJECT:352140	Wallman, Jeffrey	W12827-2061	FHCL.COLL.TBRC_0001	FHCL.COLL	PDS DOCUMENT		400002805		Tagged Image File Format	36903	20610204__0204	image/W12827-2061--20610204__0204.TIF
400002600	urn-3:FHCL:352141	urn-3:HUL.DRS.OBJECT:352140	Wallman, Jeffrey	W12827-2061	FHCL.COLL.TBRC_0001	FHCL.COLL	PDS DOCUMENT		400002806		Tagged Image File Format	36418	20610205__0205	image/W12827-2061--20610205__0205.TIF
400002600	urn-3:FHCL:352141	urn-3:HUL.DRS.OBJECT:352140	Wallman, Jeffrey	W12827-2061	FHCL.COLL.TBRC_0001	FHCL.COLL	PDS DOCUMENT		400002807		Tagged Image File Format	39298	20610206__0206	image/W12827-2061--20610206__0206.TIF
400002600	urn-3:FHCL:352141	urn-3:HUL.DRS.OBJECT:352140	Wallman, Jeffrey	W12827-2061	FHCL.COLL.TBRC_0001	FHCL.COLL	PDS DOCUMENT		400002808		Tagged Image File Format	38223	20610207__0207	image/W12827-2061--20610207__0207.TIF
400002600	urn-3:FHCL:352141	urn-3:HUL.DRS.OBJECT:352140	Wallman, Jeffrey	W12827-2061	FHCL.COLL.TBRC_0001	FHCL.COLL	PDS DOCUMENT		400002810		Tagged Image File Format	36769	20610209__0209	image/W12827-2061--20610209__0209.TIF
400002600	urn-3:FHCL:352141	urn-3:HUL.DRS.OBJECT:352140	Wallman, Jeffrey	W12827-2061	FHCL.COLL.TBRC_0001	FHCL.COLL	PDS DOCUMENT		400002812		Tagged Image File Format	34600	20610211__0211	image/W12827-2061--20610211__0211.TIF
400002600	urn-3:FHCL:352141	urn-3:HUL.DRS.OBJECT:352140	Wallman, Jeffrey	W12827-2061	FHCL.COLL.TBRC_0001	FHCL.COLL	PDS DOCUMENT		400002814		Tagged Image File Format	37154	20610213__0213	image/W12827-2061--20610213__0213.TIF
400002600	urn-3:FHCL:352141	urn-3:HUL.DRS.OBJECT:352140	Wallman, Jeffrey	W12827-2061	FHCL.COLL.TBRC_0001	FHCL.COLL	PDS DOCUMENT		400002816		Tagged Image File Format	34743	20610215__0215	image/W12827-2061--20610215__0215.TIF
400002600	urn-3:FHCL:352141	urn-3:HUL.DRS.OBJECT:352140	Wallman, Jeffrey	W12827-2061	FHCL.COLL.TBRC_0001	FHCL.COLL	PDS DOCUMENT		400002818		Tagged Image File Format	36439	20610217__0217	image/W12827-2061--20610217__0217.TIF
400002600	urn-3:FHCL:352141	urn-3:HUL.DRS.OBJECT:352140	Wallman, Jeffrey	W12827-2061	FHCL.COLL.TBRC_0001	FHCL.COLL	PDS DOCUMENT		400002820		Tagged Image File Format	37110	20610219__0219	image/W12827-2061--20610219__0219.TIF
400002600	urn-3:FHCL:352141	urn-3:HUL.DRS.OBJECT:352140	Wallman, Jeffrey	W12827-2061	FHCL.COLL.TBRC_0001	FHCL.COLL	PDS DOCUMENT		400002822		Tagged Image File Format	37675	20610221__0221	image/W12827-2061--20610221__0221.TIF
400002600	urn-3:FHCL:352141	urn-3:HUL.DRS.OBJECT:352140	Wallman, Jeffrey	W12827-2061	FHCL.COLL.TBRC_0001	FHCL.COLL	PDS DOCUMENT		400002824		Tagged Image File Format	38375	20610223__0223	image/W12827-2061--20610223__0223.TIF
400002600	urn-3:FHCL:352141	urn-3:HUL.DRS.OBJECT:352140	Wallman, Jeffrey	W12827-2061	FHCL.COLL.TBRC_0001	FHCL.COLL	PDS DOCUMENT		400002825		Tagged Image File Format	38158	20610224__0224	image/W12827-2061--20610224__0224.TIF
400002600	urn-3:FHCL:352141	urn-3:HUL.DRS.OBJECT:352140	Wallman, Jeffrey	W12827-2061	FHCL.COLL.TBRC_0001	FHCL.COLL	PDS DOCUMENT		400002827		Tagged Image File Format	38988	20610226__0226	image/W12827-2061--20610226__0226.TIF
400002600	urn-3:FHCL:352141	urn-3:HUL.DRS.OBJECT:352140	Wallman, Jeffrey	W12827-2061	FHCL.COLL.TBRC_0001	FHCL.COLL	PDS DOCUMENT		400002829		Tagged Image File Format	37556	20610228__0228	image/W12827-2061--20610228__0228.TIF
400002600	urn-3:FHCL:352141	urn-3:HUL.DRS.OBJECT:352140	Wallman, Jeffrey	W12827-2061	FHCL.COLL.TBRC_0001	FHCL.COLL	PDS DOCUMENT		400002831		Tagged Image File Format	37178	20610230__0230	image/W12827-2061--20610230__0230.TIF
400002600	urn-3:FHCL:352141	urn-3:HUL.DRS.OBJECT:352140	Wallman, Jeffrey	W12827-2061	FHCL.COLL.TBRC_0001	FHCL.COLL	PDS DOCUMENT		400002833		Tagged Image File Format	37846	20610232__0232	image/W12827-2061--20610232__0232.TIF
400002600	urn-3:FHCL:352141	urn-3:HUL.DRS.OBJECT:352140	Wallman, Jeffrey	W12827-2061	FHCL.COLL.TBRC_0001	FHCL.COLL	PDS DOCUMENT		400002835		Tagged Image File Format	37666	20610234__0234	image/W12827-2061--20610234__0234.TIF
400002600	urn-3:FHCL:352141	urn-3:HUL.DRS.OBJECT:352140	Wallman, Jeffrey	W12827-2061	FHCL.COLL.TBRC_0001	FHCL.COLL	PDS DOCUMENT		400002837		Tagged Image File Format	37874	20610236__0236	image/W12827-2061--20610236__0236.TIF
400002600	urn-3:FHCL:352141	urn-3:HUL.DRS.OBJECT:352140	Wallman, Jeffrey	W12827-2061	FHCL.COLL.TBRC_0001	FHCL.COLL	PDS DOCUMENT		400002839		Tagged Image File Format	40031	20610238__0238	image/W12827-2061--20610238__0238.TIF
400002600	urn-3:FHCL:352141	urn-3:HUL.DRS.OBJECT:352140	Wallman, Jeffrey	W12827-2061	FHCL.COLL.TBRC_0001	FHCL.COLL	PDS DOCUMENT		400002841		Tagged Image File Format	36687	20610240__0240	image/W12827-2061--20610240__0240.TIF
400002600	urn-3:FHCL:352141	urn-3:HUL.DRS.OBJECT:352140	Wallman, Jeffrey	W12827-2061	FHCL.COLL.TBRC_0001	FHCL.COLL	PDS DOCUMENT		400002842		Tagged Image File Format	37380	20610241__0241	image/W12827-2061--20610241__0241.TIF
400002600	urn-3:FHCL:352141	urn-3:HUL.DRS.OBJECT:352140	Wallman, Jeffrey	W12827-2061	FHCL.COLL.TBRC_0001	FHCL.COLL	PDS DOCUMENT		400002843		Tagged Image File Format	35914	20610242__0242	image/W12827-2061--20610242__0242.TIF
400002600	urn-3:FHCL:352141	urn-3:HUL.DRS.OBJECT:352140	Wallman, Jeffrey	W12827-2061	FHCL.COLL.TBRC_0001	FHCL.COLL	PDS DOCUMENT		400002844		Tagged Image File Format	37870	20610243__0243	image/W12827-2061--20610243__0243.TIF
400002600	urn-3:FHCL:352141	urn-3:HUL.DRS.OBJECT:352140	Wallman, Jeffrey	W12827-2061	FHCL.COLL.TBRC_0001	FHCL.COLL	PDS DOCUMENT		400002845		Tagged Image File Format	36478	20610244__0244	image/W12827-2061--20610244__0244.TIF
400002600	urn-3:FHCL:352141	urn-3:HUL.DRS.OBJECT:352140	Wallman, Jeffrey	W12827-2061	FHCL.COLL.TBRC_0001	FHCL.COLL	PDS DOCUMENT		400002846		Tagged Image File Format	37299	20610245__0245	image/W12827-2061--20610245__0245.TIF
400002600	urn-3:FHCL:352141	urn-3:HUL.DRS.OBJECT:352140	Wallman, Jeffrey	W12827-2061	FHCL.COLL.TBRC_0001	FHCL.COLL	PDS DOCUMENT		400002847		Tagged Image File Format	36727	20610246__0246	image/W12827-2061--20610246__0246.TIF
400002600	urn-3:FHCL:352141	urn-3:HUL.DRS.OBJECT:352140	Wallman, Jeffrey	W12827-2061	FHCL.COLL.TBRC_0001	FHCL.COLL	PDS DOCUMENT		400002848		Tagged Image File Format	39064	20610247__0247	image/W12827-2061--20610247__0247.TIF
400002600	urn-3:FHCL:352141	urn-3:HUL.DRS.OBJECT:352140	Wallman, Jeffrey	W12827-2061	FHCL.COLL.TBRC_0001	FHCL.COLL	PDS DOCUMENT		400002850		Tagged Image File Format	39111	20610249__0249	image/W12827-2061--20610249__0249.TIF
400002600	urn-3:FHCL:352141	urn-3:HUL.DRS.OBJECT:352140	Wallman, Jeffrey	W12827-2061	FHCL.COLL.TBRC_0001	FHCL.COLL	PDS DOCUMENT		400002852		Tagged Image File Format	41403	20610251__0251	image/W12827-2061--20610251__0251.TIF
400002600	urn-3:FHCL:352141	urn-3:HUL.DRS.OBJECT:352140	Wallman, Jeffrey	W12827-2061	FHCL.COLL.TBRC_0001	FHCL.COLL	PDS DOCUMENT		400002809		Tagged Image File Format	38740	20610208__0208	image/W12827-2061--20610208__0208.TIF
