" ""s"" "," ""id"" "
" ""http://purl.bdrc.io/resource/W00KG02353"" "," ""014254155"" "
" ""http://purl.bdrc.io/resource/W23828"" "," ""014259162"" "
" ""http://purl.bdrc.io/resource/W1PD88780"" "," ""014257878"" "
" ""http://purl.bdrc.io/resource/W20408"" "," ""014258133"" "
" ""http://purl.bdrc.io/resource/W1KG589"" "," ""014257225"" "
" ""http://purl.bdrc.io/resource/W17722"" "," ""014254794"" "
" ""http://purl.bdrc.io/resource/W2DB13636"" "," ""014260428"" "
" ""http://purl.bdrc.io/resource/W22019"" "," ""014258561"" "
" ""http://purl.bdrc.io/resource/W27922"" "," ""014259739"" "
" ""http://purl.bdrc.io/resource/W2DB4624"" "," ""014260542"" "
" ""http://purl.bdrc.io/resource/W23654"" "," ""014259019"" "
" ""http://purl.bdrc.io/resource/W24767"" "," ""014259353"" "
" ""http://purl.bdrc.io/resource/W2DB25438"" "," ""014260472"" "
" ""http://purl.bdrc.io/resource/W20234"" "," ""014258100"" "
" ""http://purl.bdrc.io/resource/W23746"" "," ""014259088"" "
" ""http://purl.bdrc.io/resource/W25268"" "," ""014259448"" "
" ""http://purl.bdrc.io/resource/W30038"" "," ""014260582"" "
" ""http://purl.bdrc.io/resource/W3CN13006"" "," ""014256921"" "
" ""http://purl.bdrc.io/resource/W1KG9724"" "," ""014257614"" "
" ""http://purl.bdrc.io/resource/W12422"" "," ""014254667"" "
" ""http://purl.bdrc.io/resource/W2MS811"" "," ""014260561"" "
" ""http://purl.bdrc.io/resource/W28861"" "," ""014259812"" "
" ""http://purl.bdrc.io/resource/W1PD89084"" "," ""014257899"" "
" ""http://purl.bdrc.io/resource/W19998"" "," ""014254944"" "
" ""http://purl.bdrc.io/resource/W00KG016"" "," ""014254082"" "
" ""http://purl.bdrc.io/resource/W1PD5297"" "," ""014257821"" "
" ""http://purl.bdrc.io/resource/W1PD100944"" "," ""014257655"" "
" ""http://purl.bdrc.io/resource/W23908"" "," ""014259218"" "
" ""http://purl.bdrc.io/resource/W1KG4325"" "," ""014256914"" "
" ""http://purl.bdrc.io/resource/W1KG10282"" "," ""014255611"" "
" ""http://purl.bdrc.io/resource/W22139"" "," ""014258653"" "
" ""http://purl.bdrc.io/resource/W1PD45150"" "," ""014257808"" "
" ""http://purl.bdrc.io/resource/W19605"" "," ""014254862"" "
" ""http://purl.bdrc.io/resource/W1KG6199"" "," ""014257334"" "
" ""http://purl.bdrc.io/resource/W29341"" "," ""014259991"" "
" ""http://purl.bdrc.io/resource/W23996"" "," ""014259271"" "
" ""http://purl.bdrc.io/resource/W1CZ1871"" "," ""014255260"" "
" ""http://purl.bdrc.io/resource/W1PD5302"" "," ""014257825"" "
" ""http://purl.bdrc.io/resource/W24053"" "," ""014259313"" "
" ""http://purl.bdrc.io/resource/W27301"" "," ""014259598"" "
" ""http://purl.bdrc.io/resource/W21932"" "," ""014258505"" "
" ""http://purl.bdrc.io/resource/W20077"" "," ""014258026"" "
" ""http://purl.bdrc.io/resource/W29199"" "," ""014259931"" "
" ""http://purl.bdrc.io/resource/W3916"" "," ""014260859"" "
" ""http://purl.bdrc.io/resource/W1CZ1987"" "," ""014255282"" "
" ""http://purl.bdrc.io/resource/W23891"" "," ""014259202"" "
" ""http://purl.bdrc.io/resource/W1KG9259"" "," ""014257528"" "
" ""http://purl.bdrc.io/resource/W27021"" "," ""014259572"" "
" ""http://purl.bdrc.io/resource/W19965"" "," ""014254930"" "
" ""http://purl.bdrc.io/resource/W20479"" "," ""014258177"" "
" ""http://purl.bdrc.io/resource/W20432"" "," ""014258149"" "
" ""http://purl.bdrc.io/resource/W20214"" "," ""014258092"" "
" ""http://purl.bdrc.io/resource/W26001"" "," ""014259488"" "
" ""http://purl.bdrc.io/resource/W21679"" "," ""014258387"" "
" ""http://purl.bdrc.io/resource/W1KG5698"" "," ""014257180"" "
" ""http://purl.bdrc.io/resource/W19871"" "," ""014254917"" "
" ""http://purl.bdrc.io/resource/W1KG10772"" "," ""014255672"" "
" ""http://purl.bdrc.io/resource/W1KG1958"" "," ""014256595"" "
" ""http://purl.bdrc.io/resource/W23727"" "," ""014259070"" "
" ""http://purl.bdrc.io/resource/W1KG4232"" "," ""014256849"" "
" ""http://purl.bdrc.io/resource/W1CZ688"" "," ""014255402"" "
" ""http://purl.bdrc.io/resource/W1KG1011"" "," ""014255580"" "
" ""http://purl.bdrc.io/resource/W27887"" "," ""014259726"" "
" ""http://purl.bdrc.io/resource/W4CZ1102"" "," ""014260898"" "
" ""http://purl.bdrc.io/resource/W1PD179846"" "," ""014257732"" "
" ""http://purl.bdrc.io/resource/W8751"" "," ""014261106"" "
" ""http://purl.bdrc.io/resource/W2DB4610"" "," ""014260528"" "
" ""http://purl.bdrc.io/resource/W23884"" "," ""014259200"" "
" ""http://purl.bdrc.io/resource/W9683"" "," ""014261140"" "
" ""http://purl.bdrc.io/resource/W2DB25429"" "," ""014260466"" "
" ""http://purl.bdrc.io/resource/W30442"" "," ""014260791"" "
" ""http://purl.bdrc.io/resource/W1CZ1101"" "," ""014255020"" "
" ""http://purl.bdrc.io/resource/W20510"" "," ""014258185"" "
" ""http://purl.bdrc.io/resource/W1PD86468"" "," ""014257872"" "
" ""http://purl.bdrc.io/resource/W28813"" "," ""014259783"" "
" ""http://purl.bdrc.io/resource/W1GS55180"" "," ""014255481"" "
" ""http://purl.bdrc.io/resource/W20869"" "," ""014258267"" "
" ""http://purl.bdrc.io/resource/W1PD5283"" "," ""014257819"" "
" ""http://purl.bdrc.io/resource/W15232"" "," ""014254729"" "
" ""http://purl.bdrc.io/resource/W1KG5666"" "," ""014257177"" "
" ""http://purl.bdrc.io/resource/W25983"" "," ""014259478"" "
" ""http://purl.bdrc.io/resource/W10426"" "," ""014254625"" "
" ""http://purl.bdrc.io/resource/W1KG4334"" "," ""014256920"" "
" ""http://purl.bdrc.io/resource/W29041"" "," ""014259892"" "
" ""http://purl.bdrc.io/resource/W1KG1685"" "," ""014256427"" "
" ""http://purl.bdrc.io/resource/W30072"" "," ""014260599"" "
" ""http://purl.bdrc.io/resource/W23346"" "," ""014258872"" "
" ""http://purl.bdrc.io/resource/W1PD44712"" "," ""014257799"" "
" ""http://purl.bdrc.io/resource/W22345"" "," ""014258748"" "
" ""http://purl.bdrc.io/resource/W22320"" "," ""014258735"" "
" ""http://purl.bdrc.io/resource/W19834"" "," ""014254907"" "
" ""http://purl.bdrc.io/resource/W21018"" "," ""014258282"" "
" ""http://purl.bdrc.io/resource/W1KG9258"" "," ""014257527"" "
" ""http://purl.bdrc.io/resource/W1PD53272"" "," ""014257837"" "
" ""http://purl.bdrc.io/resource/W23872"" "," ""014259192"" "
" ""http://purl.bdrc.io/resource/W22300"" "," ""014258723"" "
" ""http://purl.bdrc.io/resource/W15649"" "," ""014254742"" "
" ""http://purl.bdrc.io/resource/W30105"" "," ""014260620"" "
" ""http://purl.bdrc.io/resource/W1KG6013"" "," ""014257258"" "
" ""http://purl.bdrc.io/resource/W1GS44055"" "," ""014255456"" "
" ""http://purl.bdrc.io/resource/W23723"" "," ""014259066"" "
" ""http://purl.bdrc.io/resource/W00EGS1017396"" "," ""014254012"" "
" ""http://purl.bdrc.io/resource/W00KG010085"" "," ""014254032"" "
" ""http://purl.bdrc.io/resource/W28887"" "," ""014259821"" "
" ""http://purl.bdrc.io/resource/W11249"" "," ""014254644"" "
" ""http://purl.bdrc.io/resource/W2DB25060"" "," ""014260459"" "
