object_id_num,object_huldrsadmin_ownerSuppliedName_string,object_urn_string_sort,object_huldrsadmin_adminCategory_text_sort,object_huldrsadmin_ownerCode_string_sort,object_huldrsadmin_billingCode_string,object_mets_type_string,object_huldrsadmin_role_string_sort,batch_huldrsadmin_batchDirectoryName_string,batch_id_num,batch_huldrsadmin_loadStartTime_date,batch_huldrsadmin_batchName_string,object_fileCount_num,object_huldrsadmin_adminFlagType_string_sort,object_huldrsadmin_accessFlag_string,object_mods_title_text_sort,object_huldrsadmin_producer_string_sort,object_objectSize_num
445601679,W1AC382-I2PD18231,"urn-3:FHCL:37123530, urn-3:HUL.DRS.OBJECT:37123529",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1AC382-1n,475839,2018-06-19T13:51:17.0Z,FHCL.COLL_batchW1AC382-1n_20180618_153755,432,,R,"mkhas grub karma chags med kyi rnam thar, མཁས་གྲུབ་ཀརྨ་ཆགས་མེད་ཀྱི་རྣམ་ཐར།, 噶玛强美选集, ga ma qiang mei xuan ji",Tibetan Buddhist Resource Center,39626306
445602113,W1FPL11-I1FPL11,"urn-3:FHCL:37123534, urn-3:HUL.DRS.OBJECT:37123533",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1FPL11-1n,475841,2018-06-19T13:52:11.0Z,FHCL.COLL_batchW1FPL11-1n_20180618_153900,257,,R,[jāt] suvaṇṇasyhaṃ jāt nisya--[jāt] maho nissya jāt,Tibetan Buddhist Resource Center,85291005
445602372,W1AC3-I2PD19023,"urn-3:FHCL:37123532, urn-3:HUL.DRS.OBJECT:37123531",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1AC3-1n,475840,2018-06-19T13:52:10.0Z,FHCL.COLL_batchW1AC3-1n_20180618_165255,288,,R,"bod brgyud nang bstan gyi dgongs 'grel skor gyi dpyad rtsom phyogs bsgrigs/ (deb dang po/), བོད་བརྒྱུད་ནང་བསྟན་གྱི་དགོངས་འགྲེལ་སྐོར་གྱི་དཔྱད་རྩོམ་ཕྱོགས་བསྒྲིགས། ༼དེབ་དང་པོ།༽, 藏传佛教教义阐释研究文集 （第一辑）, zang cuan fo jiao jiao yi chan shi yan jiu wen ji （di yi ji）",Tibetan Buddhist Resource Center,13361025
445602662,W1FPL110-I1FPL110,"urn-3:FHCL:37123536, urn-3:HUL.DRS.OBJECT:37123535",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1FPL110-1n,475842,2018-06-19T13:53:06.0Z,FHCL.COLL_batchW1FPL110-1n_20180618_154032,218,,R,vinayavinicchaya--vinayavinicchaya pāṭh nisya,Tibetan Buddhist Resource Center,65831273
445602882,W1FPL1006-I1FPL1006,"urn-3:FHCL:37123538, urn-3:HUL.DRS.OBJECT:37123537",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1FPL1006-1n,475843,2018-06-19T13:53:07.0Z,FHCL.COLL_batchW1FPL1006-1n_20180618_123247,252,,R,"dhātvatthadīpaka pāṭh--saddatthajālinī*--saddatthabhedacintā pāṭh--naññ: le: chay / sandhi, ākhyāt pud chac--[kaccāyana?] sandhi pāṭh to uṇhāt---mūlasikkhā pāṭh*--khuddasikkhā pāḷi--bhikkhunīpātimok--bhikkhupātimok--abhidhammatthasaṅgruih pāṭh",Tibetan Buddhist Resource Center,90991401
445603136,W1AC383-I2PD18233,"urn-3:FHCL:37123540, urn-3:HUL.DRS.OBJECT:37123539",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1AC383-1n,475844,2018-06-19T13:53:11.0Z,FHCL.COLL_batchW1AC383-1n_20180618_154044,568,,R,"sprul sku mi 'gyur rdo rje'i rnam thar kun khyab snyan pa'i 'brug sgra, སྤྲུལ་སྐུ་མི་འགྱུར་རྡོ་རྗེའི་རྣམ་ཐར་ཀུན་ཁྱབ་སྙན་པའི་འབྲུག་སྒྲ།, 噶玛强美选集, ga ma qiang mei xuan ji",Tibetan Buddhist Resource Center,47934534
445603706,W1AC30-I2PD18542,"urn-3:FHCL:37123546, urn-3:HUL.DRS.OBJECT:37123544",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1AC30-1n,475847,2018-06-19T13:54:12.0Z,FHCL.COLL_batchW1AC30-1n_20180618_165448,366,,R,"'jam mgon bla ma'i yongs 'dzin chos rje don grub rin chen gyis mdzad pa'i rgyud bla ma'i 'grel ba rin po che'i snang ba, འཇམ་མགོན་བླ་མའི་ཡོངས་འཛིན་ཆོས་རྗེ་དོན་གྲུབ་རིན་ཆེན་གྱིས་མཛད་པའི་རྒྱུད་བླ་མའི་འགྲེལ་བ་རིན་པོ་ཆེའི་སྣང་བ།, chos rje don rin pas mdzad pa'i rgyud bla ma'i bstan bcos kyi snying po rin po che'i snang ba",Tibetan Buddhist Resource Center,20404517
445603846,W1AC384-I2PD18235,"urn-3:FHCL:37123542, urn-3:HUL.DRS.OBJECT:37123541",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1AC384-1n,475845,2018-06-19T13:54:11.0Z,FHCL.COLL_batchW1AC384-1n_20180618_154218,278,,R,"kun rig dang phag mo bde mchog bcas kyi zin bris, ཀུན་རིག་དང་ཕག་མོ་བདེ་མཆོག་བཅས་ཀྱི་ཟིན་བྲིས།, 噶玛强美选集, ga ma qiang mei xuan ji",Tibetan Buddhist Resource Center,26364521
445604354,W1FPL1007-I1FPL1007,"urn-3:FHCL:37123545, urn-3:HUL.DRS.OBJECT:37123543",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1FPL1007-1n,475846,2018-06-19T13:54:11.0Z,FHCL.COLL_batchW1FPL1007-1n_20180618_123442,272,,R,pārājikaṇ aṭhakathā pāṭh,Tibetan Buddhist Resource Center,80844332
445604628,W1FPL1100-I1FPL1100,"urn-3:FHCL:37123548, urn-3:HUL.DRS.OBJECT:37123547",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,,batchW1FPL1100-1n,475848,2018-06-19T13:55:07.0Z,FHCL.COLL_batchW1FPL1100-1n_20180618_154236,304,,R,sāratthadīpanī ṭīkā pāḷi-tō*,Tibetan Buddhist Resource Center,96600608
