object_id_num,object_huldrsadmin_ownerSuppliedName_string,object_urn_string_sort,object_huldrsadmin_adminCategory_text_sort,object_huldrsadmin_ownerCode_string_sort,object_huldrsadmin_billingCode_string,object_mets_type_string,object_huldrsadmin_insertionDate_date,object_huldrsadmin_role_string_sort,object_mets_createDate_date,object_fileCount_num,object_huldrsadmin_adminFlagType_string_sort,object_huldrsadmin_accessFlag_string,object_mods_title_text_sort,object_huldrsadmin_producer_string_sort,object_objectSize_num
440242461,W1KG5269-I1KG5295,"urn-3:FHCL:35902314, urn-3:HUL.DRS.OBJECT:35902313",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-04-17T12:08:50.944Z,,2018-04-05T06:01:08.275Z,258,,R,"dus rabs 21 pa'i bod lugs gso rig dngos tshan slob gso'i 'char 'god slob deb/ gdon nad gso ba, དུས་རབས ༢༡ པའི་བོད་ལུགས་གསོ་རིག་དངོས་ཚན་སློབ་གསོའི་འཆར་འགོད་སློབ་དེབ། གདོན་ནད་གསོ་བ་, gdon nad gso ba, zang yi jing shen bing xue",Tibetan Buddhist Resource Center,49959969
440242721,W1KG5272-I1KG5299,"urn-3:FHCL:35902378, urn-3:HUL.DRS.OBJECT:35902376",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-04-17T12:08:54.628Z,,2018-04-05T06:05:12.678Z,132,,R,"dus rabs 21 pa'i bod lugs gso rig dngos tshan slob gso'i 'char 'god slob deb/ dug nad gso ba, དུས་རབས ༢༡ པའི་བོད་ལུགས་གསོ་རིག་དངོས་ཚན་སློབ་གསོའི་འཆར་འགོད་སློབ་དེབ། དུག་ནད་གསོ་བ་, dug nad gso ba, zang yi jie du xue",Tibetan Buddhist Resource Center,44783557
440242855,W1KG5274-I1KG5303,"urn-3:FHCL:35902535, urn-3:HUL.DRS.OBJECT:35902534",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-04-17T12:09:05.224Z,,2018-04-05T06:08:08.391Z,114,,R,"dus rabs 21 pa'i bod lugs gso rig dngos tshan slob gso'i 'char 'god slob deb/ sbyong byed las, དུས་རབས ༢༡ པའི་བོད་ལུགས་གསོ་རིག་དངོས་ཚན་སློབ་གསོའི་འཆར་འགོད་སློབ་དེབ། སྦྱོང་བྱེད་ལས་, sbyong byed las, zang yi xie zhi xue",Tibetan Buddhist Resource Center,43144530
440242971,W1KG5275-I1KG5944,"urn-3:FHCL:35902537, urn-3:HUL.DRS.OBJECT:35902536",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-04-17T12:09:09.670Z,,2018-04-05T06:09:09.467Z,94,,R,"dpal nag po chen po yab yum 'khor dang bcas pa mchog tu dgyes pa bskyed par byed pa'i rdo rje'i glu dbyangs rab tu gsal ba'i yi ge mthong bas khong chud 'phrin las myur 'grub, དཔལ་ནག་པོ་ཆེན་པོ་ཡབ་ཡུམ་འཁོར་དང་བཅས་པ་མཆོག་ཏུ་དགྱེས་པ་བསྐྱེད་པར་བྱེད་པའི་རྡོ་རྗེའི་གླུ་དབྱངས་རབ་ཏུ་གསལ་བའི་ཡི་གེ་མཐོང་བས་ཁོང་ཆུད་འཕྲིན་ལས་མྱུར་འགྲུབ་, nag po chen po yab yum 'khor dang bcas pa mchog tu dgyes pa bskyed par byed pa'i rdo rje'i glu dbyangs, 'byung po gang dag 'dir ni lhag gyur tam / sa 'am 'on te bar snang 'khor kyang rung / skye rgu rnams la rtag tu byams byed cing / nyin dang mtshan mo chos la spyod par shog",Tibetan Buddhist Resource Center,20999951
440243067,W1KG857-I1KG898,"urn-3:FHCL:35902755, urn-3:HUL.DRS.OBJECT:35902754",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-04-17T12:10:34.902Z,,2018-04-04T22:51:04.665Z,226,,R,"bod ljongs kyi dpal 'byor, བོད་ལྗོངས་ཀྱི་དཔལ་འབྱོར་, xi zang jin ji, Bod ljongs kyi dpal 'byor /Wang Wun-khrang, lha-msthan gyis brtsoms ; edited by Nor-bu-dbaṅ-ldan gyis bsgyur",Tibetan Buddhist Resource Center,6102244116
440243295,W1KG5328-I1KG5332,"urn-3:FHCL:35902662, urn-3:HUL.DRS.OBJECT:35902661",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-04-17T12:09:25.436Z,,2018-04-05T07:04:47.161Z,234,,R,"thub bstan ris su ma chad pa'i bla ma mchod pa dang lhan thabs bcas, ཐུབ་བསྟན་རིས་སུ་མ་ཆད་པའི་བླ་མ་མཆོད་པ་དང་ལྷན་ཐབས་བཅས་",Tibetan Buddhist Resource Center,104922782
440243531,W1KG5342-I1KG5405,"urn-3:FHCL:35902749, urn-3:HUL.DRS.OBJECT:35902748",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-04-17T12:09:46.393Z,,2018-04-05T07:09:04.721Z,660,,R,"mngon pa mdzod kyi rtsa 'grel, མངོན་པ་མཛོད་ཀྱི་རྩ་འགྲེལ་, chos mngon pa'i mdzod kyi tshig le'ur byas pa, chos mngon pa'i mdzod kyi mchan 'grel dbyig gnyen dgongs pa gsal ba'i sgron me",Tibetan Buddhist Resource Center,38618632
440244193,W1KG535-I1KG544,"urn-3:FHCL:35902633, urn-3:HUL.DRS.OBJECT:35902632",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-04-17T12:09:24.195Z,,2018-04-05T07:13:21.690Z,110,,R,"dran pa'i zin tho, དྲན་པའི་ཟིན་ཐོ, list of missing",Tibetan Buddhist Resource Center,4450951
440244305,W1KG5370-I1KG5381,"urn-3:FHCL:35902747, urn-3:HUL.DRS.OBJECT:35902746",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-04-17T12:09:38.559Z,,2018-04-05T07:15:35.380Z,62,,R,"skyabs rje bya bral sangs rgyas rdo rje'i rnam thar dang/ bla ma rgyang 'bod/ yul dus rang gzhan la skyo ba'i nyams mgur, སྐྱབས་རྗེ་བྱ་བྲལ་སངས་རྒྱས་རྡོ་རྗེའི་རྣམ་ཐར་དང། བླ་མ་རྒྱང་འབོད། ཡུལ་དུས་རང་གཞན་ལ་སྐྱོ་བའི་ཉམས་མགུར་, seed of faith : the life story of his holiness chadrel sangye dorji rinpoche, bla ma rgyang 'bod gsol 'debs bde chen mchog gi lam bzang, Skyabs rje Bya-bral Saṅs-rgyas-rdo-rjeʾi rnam thar daṅ bla ba rgyaṅ ʾbod :yul du raṅ gźan la skyob baʾi ñams mgur bźugs so = Seed of faith : the life story of His Holiness Chadrel Sangye Dorji Rinpoche /Traleck Khenpo Tenzin Oser",Tibetan Buddhist Resource Center,142288406
440244369,W1KG5369-I1KG5379,"urn-3:FHCL:35902751, urn-3:HUL.DRS.OBJECT:35902750",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-04-17T12:09:52.340Z,,2018-04-05T07:14:23.754Z,220,,R,"byang chub mchod pa'i me tog, བྱང་ཆུབ་མཆོད་པའི་མེ་ཏོག་",Tibetan Buddhist Resource Center,104564376
